ID	Age	Sex	Valence	ValenceNum	Framing	FramingNum	emot_option_sure	emot_option_risk	risky_choice	valence_pre	excitation_pre	fear_pre	amusement_pre	sadness_pre	disgust_pre	anger_pre	joy_pre	valence_post	excitation_post	fear_post	amusement_post	sadness_post	disgust_post	anger_post	joy_post
40	24	male	Neutral	0	Gain	2	3	3	0	4	2	2	4	1	1	1	4	4	2	1	4	1	1	1	5
41	22	female	Joy	1	Gain	2	3	3	0	5	5	1	7	1	1	1	9	5	5	1	6	1	1	1	9
42	33	male	Sad	2	Gain	2	3	3	0	4	4	2	6	1	1	1	7	1	5	5	1	7	5	3	2
43	22	female	Neutral	0	Loss	1	2	3	1	4	3	1	4	1	1	1	6	4	3	1	4	1	1	1	5
44	19	female	Joy	1	Loss	1	2	3	1	3	2	1	3	1	1	1	5	4	4	2	5	2	1	1	6
45	36	male	Sad	2	Loss	1	1	3	1	4	3	1	5	1	1	1	5	5	5	4	1	7	3	3	2
46	27	male	Neutral	0	Gain	2	2	3	0	5	3	1	5	1	1	1	7	5	3	1	4	1	1	1	7
47	28	female	Joy	1	Gain	2	2	3	0	5	4	2	6	1	1	1	7	4	5	2	5	2	1	1	7
48	47	male	Sad	2	Gain	2	2	2	0	4	3	1	5	1	1	1	6	1	5	5	3	5	3	2	3
49	22	female	Neutral	0	Loss	1	3	3	0	3	2	1	4	1	1	1	5	4	2	1	4	1	1	1	5
5	23	male	Joy	1	Gain	2	4	2	0	3	1	1	3	1	1	1	4	4	3	1	3	1	1	1	5
50	26	male	Joy	1	Loss	1	2	2	0	4	3	1	5	1	1	1	6	5	4	1	5	2	1	1	7
51	33	male	Sad	2	Loss	1	2	2	1	5	5	1	6	1	1	1	8	1	5	2	1	7	3	2	2
52	51	female	Neutral	0	Gain	2	3	3	0	4	3	2	3	1	1	1	5	3	2	1	4	1	1	1	5
53	63	female	Joy	1	Gain	2	3	2	0	4	3	1	5	2	1	2	5	4	4	1	5	2	1	1	6
54	65	male	Sad	2	Gain	2	3	3	0	3	2	1	3	1	1	2	4	2	3	2	2	2	1	2	3
55	44	female	Neutral	0	Loss	1	2	2	0	4	1	1	2	1	1	1	4	3	1	1	2	1	1	1	4
56	29	female	Joy	1	Loss	1	3	2	0	4	3	2	5	1	1	1	6	5	5	1	5	2	1	1	7
57	23	male	Sad	2	Loss	1	1	3	1	3	1	1	3	1	1	1	4	2	4	3	1	5	2	3	1
58	19	male	Neutral	0	Gain	2	4	3	0	5	5	1	8	1	1	1	8	5	4	1	8	1	1	1	8
59	24	female	Joy	1	Gain	2	4	2	0	3	1	1	4	1	1	1	5	4	4	1	5	1	1	1	6
6	28	female	Sad	2	Gain	2	2	2	0	5	1	1	5	1	1	1	5	1	5	7	1	9	7	4	1
60	35	male	Sad	2	Gain	2	3	1	0	4	2	2	6	1	1	1	6	1	5	5	1	5	3	2	1
61	36	male	Neutral	0	Loss	1	3	2	0	4	1	1	3	1	1	1	5	4	1	1	3	1	1	1	5
62	40	female	Joy	1	Loss	1	2	2	0	4	3	1	5	1	1	1	5	4	4	1	6	1	1	1	6
63	28	male	Sad	2	Loss	1	1	3	1	5	5	1	6	1	1	1	7	2	4	2	2	6	2	2	3
64	22	female	Neutral	0	Gain	2	4	2	0	4	2	2	4	1	1	1	5	4	1	1	5	1	1	1	5
65	26	female	Joy	1	Gain	2	5	3	0	3	2	1	2	1	1	1	4	4	3	1	3	2	1	1	5
66	28	male	Sad	2	Gain	2	4	3	0	3	1	1	4	1	1	1	5	2	2	2	3	3	1	1	4
67	25	female	Neutral	0	Loss	1	3	2	0	4	3	1	5	1	1	1	6	4	2	1	5	1	1	1	6
68	25	female	Joy	1	Loss	1	3	2	1	3	1	1	2	1	1	1	3	4	3	1	3	2	1	1	4
69	24	male	Sad	2	Loss	1	1	3	1	4	2	1	5	1	1	1	5	1	5	3	1	6	2	3	1
7	22	male	Neutral	0	Loss	1	3	3	0	4	1	1	4	1	1	1	7	3	1	1	5	1	1	1	6
70	18	male	Neutral	0	Gain	2	4	2	0	5	5	1	7	1	1	1	8	5	4	1	6	1	1	1	8
71	27	female	Joy	1	Gain	2	4	2	0	3	3	1	3	1	1	1	4	4	4	2	5	2	1	1	5
72	22	male	Sad	2	Gain	2	3	2	0	4	2	2	4	1	1	1	4	1	5	3	2	5	1	2	2
73	26	female	Neutral	0	Loss	1	2	2	0	5	5	1	6	1	1	1	7	5	4	1	6	1	1	1	7
74	25	male	Joy	1	Loss	1	2	2	0	5	5	1	7	1	1	1	7	5	4	1	6	2	1	1	8
75	21	female	Sad	2	Loss	1	1	3	1	3	1	1	3	1	1	1	5	2	4	1	2	4	2	2	3
76	25	male	Neutral	0	Gain	2	4	2	0	3	1	1	2	1	1	1	4	3	1	1	3	1	1	1	4
77	23	male	Joy	1	Gain	2	4	2	0	3	2	1	3	1	1	3	2	4	3	1	4	1	1	1	4
